GEOID,YEAR,state,PCPrate,pctOBESE,FI,MIDWIVESrate,OBGYNrate,rtTEENBIRTH,rtSTD,MHCENTERrate,MHPROVIDERrate,rtDRUGODMORTALITY,pctNoVehicle,pctRural,rtSocASSOC,pctHOUSE_DISTRESS,rtVIOLENTCR,segregation,Racialized_pov
48451,2022,Texas,70.34527807320934,0.369,0.141,4.993342210386152,19.97336884154461,31.44081233,632.6,0.0,1.674887573171651,8.673779166000001,0.0473717793570815,0.1555460452087305,10.90604027,0.139114306,317.5423072,25.71356666,1.4952572607282586
48453,2022,Texas,85.20067363698077,0.252,0.128,4.972287267681532,34.80601087377072,21.97431757,602.9,0.0,0.612954486596984,14.20276208,0.0550093010895562,0.0421057871456813,8.972066495,0.189351887,370.132377,34.55539314,2.33540081941936
48455,2022,Texas,14.46445360526506,0.378,0.188,0.0,0.0,43.55651548,211.6,0.0,0.0,0.0,0.0972082071981163,1.0,14.33349259,0.122466216,188.4687873,42.68255703,3.3556324003766558
48457,2022,Texas,19.92329531304478,0.382,0.184,0.0,0.0,39.31532495,96.9,0.0,0.0,29.24921874,0.0700337689032447,1.0,11.99704688,0.141737892,297.0899223,28.6965364,1.797456836566084
48459,2022,Texas,31.119835304256235,0.37,0.166,0.0,0.0,33.29439252,138.9,0.0,0.0,8.78741642,0.0385463290800988,0.8099959647201245,7.664119944,0.134663342,298.6971719,32.60077063,1.3693558006401456
48461,2022,Texas,61.25574272588055,0.377,0.114,0.0,0.0,45.35147392,328.1,0.0,0.0,0.0,0.0601614086573734,1.0,0.0,0.099616858,84.40005627000001,23.56870404,1.1745283018867925
48463,2022,Texas,32.3506813862267,0.406,0.142,0.0,7.362143856290952,46.01818683,347.8,0.0,0.0,0.0,0.0724465558194774,0.3838947578234004,10.47081261,0.149107657,267.5462708,10.65820159,1.9902855393473
48465,2022,Texas,35.74131696240855,0.413,0.148,0.0,12.513034410844629,55.79538975,432.4,0.0,0.0,0.0,0.0481884275671453,0.1444594960715253,7.751147374,0.16720674,138.1498158,19.15424774,1.189370662180797
48467,2022,Texas,9.791921664626685,0.364,0.159,3.3992793527772114,0.0,28.71371878,178.5,0.0,0.0,8.228420966,0.0287109200035832,1.0,11.83954762,0.126688759,118.1447464,28.19772231,1.3890271379043426
48469,2022,Texas,74.75484807176466,0.384,0.144,0.0,19.2090154312424,37.12826127,506.1,0.0,3.298008003166088,7.244933075,0.0724937983364949,0.2665947943939627,9.230702402,0.162236903,425.4282699,25.37766014,2.0312841693531665
48471,2022,Texas,26.93101812072791,0.379,0.151,0.0,6.52635013868494,16.089712340000002,726.3000000000001,0.0,0.0,9.650070078,0.0668103448275862,0.4536532550991897,6.303874142000001,0.218858331,375.1770879,27.43405455,1.6441390903806363
48473,2022,Texas,11.709405998561415,0.387,0.134,0.0,0.0,17.74465016,477.9,0.0,0.0,9.045735237,0.0355455568053993,0.7632414711607417,4.7062230750000005,0.196892942,344.0702782,48.65758036,2.7452662665200407
48475,2022,Texas,17.866714311238162,0.381,0.112,0.0,0.0,46.36233952,333.40000000000003,0.0,0.0,0.0,0.0391651031894934,0.217941233703055,7.501250208,0.117572693,495.3877691,4.899634815000001,2.0344361300075584
48477,2022,Texas,61.29670390905798,0.369,0.14,0.0,27.30748225013653,19.84575836,181.1,0.0,0.0,9.36671631,0.05979837039083,0.5640812448034208,14.49194582,0.151050081,236.4202514,32.66407333,2.665400571715089
48479,2022,Texas,30.603295452424938,0.418,0.158,0.7101516173703085,9.94212264318432,52.26296345,409.2000000000001,0.0,0.0,12.28555977,0.0615062277465712,0.0564987081627596,3.5062099680000003,0.274640239,381.8164985,19.17076345,1.7579760934642772
